"DISTRICT","MANDAL","07-08-19","08-08-19","09-08-19","10-08-19","11-08-19","12-08-19","13-08-19","14-08-19","15-08-19","16-08-19"
"KURNOOL","GUDURKURNOOL",11.02,2.34,0.289999999999999,0.0300000000000011,0.459999999999999,0.76,0.24,3.27,3.14,1.38
"KURNOOL","HALAHARVI",8.48,1.69,1.98,0.52,0.800000000000001,1.37,2.1,2.84,6.23,3.29
"KURNOOL","HOLAGUNDA",9.28,2.18,1.98,0.24,0.91,1.31,2.1,3.05,8.05,7.42
"KURNOOL","JUPADUBUNGALOW",10.53,4.64,0.199999999999999,0.390000000000001,0.459999999999999,1.19,0.369999999999999,4.76,2.13,3.88
"KURNOOL","KALLUR",7.95,3.08,0.289999999999999,0.0700000000000003,0.51,1.04,0.58,4.52,3.85,1.95
"KURNOOL","KODUMUR",7.63,3,0.18,0.0300000000000011,0.52,0.92,0.52,3.57,3.14,1.83
"KURNOOL","KOILKUNTLA",3.04,3.45,0.0500000000000007,0.12,0.49,2.38,1.22,2.9,8.69,2.14
"KURNOOL","KOLIMIGUNDLA",4.08,2.15,0.0700000000000003,0.0300000000000002,0.18,0.42,0.43,0.55,2.84,2.74
"KURNOOL","KOSIGI",10.69,2.37,1.16,0.120000000000001,1.22,1.01,1.37,3.72,4.45,2.72
"KURNOOL","KOTHAPALLE",10.29,7.31,0.739999999999998,0.549999999999997,0.850000000000001,1.13,0.699999999999999,5.55,3.76,5.92
"KURNOOL","KOWTHALAM",11.55,2.94,0.99,0.129999999999999,1.22,1.16,3.08,3.51,6.11,8.24
"KURNOOL","KRISHNAGIRI",7.63,2.89,0.75,0.120000000000001,0.58,0.92,0.67,2.38,3.73,3.02
"KURNOOL","KURNOOL",9.19,2.56,0.529999999999999,0.129999999999999,0.520000000000001,1.16,0.4,4.88,2.99,2.07
"KURNOOL","MADDIKERAEAST",9.03,1.8,1.02,0.399999999999999,0.49,1.03,0.83,2.16,6.11,3.02
"KURNOOL","MAHANANDI",16.67,17.11,0.399999999999999,0.299999999999997,1.01000000000001,2.74,1.31,7.84,8.05,4.22
