"DISTRICT","MANDAL","2019-08-07 05:30:00","2019-08-07 08:30:00","2019-08-07 11:30:00","2019-08-07 14:30:00","2019-08-07 17:30:00","2019-08-07 20:30:00","2019-08-07 23:30:00","2019-08-08 02:30:00","2019-08-08 05:30:00","2019-08-08 08:30:00","2019-08-08 11:30:00","2019-08-08 14:30:00","2019-08-08 17:30:00","2019-08-08 20:30:00","2019-08-08 23:30:00","2019-08-09 02:30:00","2019-08-09 05:30:00","2019-08-09 08:30:00","2019-08-09 11:30:00","2019-08-09 14:30:00","2019-08-09 17:30:00","2019-08-09 20:30:00","2019-08-09 23:30:00","2019-08-10 02:30:00","2019-08-10 05:30:00","2019-08-10 08:30:00","2019-08-10 11:30:00","2019-08-10 14:30:00","2019-08-10 17:30:00","2019-08-10 20:30:00","2019-08-10 23:30:00","2019-08-11 02:30:00","2019-08-11 05:30:00","2019-08-11 08:30:00","2019-08-11 11:30:00","2019-08-11 14:30:00","2019-08-11 17:30:00","2019-08-11 20:30:00","2019-08-11 23:30:00","2019-08-12 02:30:00","2019-08-12 05:30:00","2019-08-12 08:30:00","2019-08-12 11:30:00","2019-08-12 14:30:00","2019-08-12 17:30:00","2019-08-12 20:30:00","2019-08-12 23:30:00","2019-08-13 02:30:00","2019-08-13 05:30:00","2019-08-13 11:30:00","2019-08-13 17:30:00","2019-08-13 23:30:00","2019-08-14 05:30:00","2019-08-14 11:30:00","2019-08-14 17:30:00","2019-08-14 23:30:00","2019-08-15 05:30:00","2019-08-15 11:30:00","2019-08-15 17:30:00","2019-08-15 23:30:00","2019-08-16 05:30:00","2019-08-16 11:30:00","2019-08-16 17:30:00","2019-08-16 23:30:00","2019-08-17 05:30:00"
"VISHAKAPATNAM","KOTAURATLA",23.04,27.792,25.704,26.568,27.36,21.636,24.3,24.66,24.192,29.664,28.98,25.236,23.04,18.072,16.092,16.776,17.28,22.464,20.268,20.664,16.416,12.708,11.34,13.068,13.392,15.948,14.4,15.336,15.048,14.112,11.52,13.14,12.6,13.068,12.348,9.324,8.28,8.496,9.144,8.604,8.496,8.784,8.136,10.188,6.012,6.516,9.432,7.632,8.352,8.208,6.192,8.604,13.248,13.284,5.688,7.344,13.428,11.448,9.468,8.244,13.644,10.62,7.668,7.308,13.644
"VISHAKAPATNAM","KOYYURU",25.92,24.804,26.208,26.928,25.128,21.708,24.048,24.48,21.744,21.96,25.344,20.916,19.044,16.848,16.668,14.688,15.264,20.052,19.188,16.164,12.996,13.176,13.32,13.752,15.768,21.6,17.028,14.4,14.616,10.656,11.232,12.888,15.84,21.672,17.208,15.696,13.068,12.456,10.8,12.456,15.588,23.58,16.596,13.644,10.8,11.304,11.088,12.06,13.572,18.54,10.332,10.404,11.412,15.66,9.144,7.956,10.548,12.348,8.532,8.784,10.584,15.048,6.768,7.884,10.44
"VISHAKAPATNAM","MADUGULA",25.74,27,27.144,28.368,28.044,26.388,25.452,27.252,29.556,28.512,30.852,24.804,23.58,20.376,19.188,19.548,21.132,22.932,21.528,19.368,18.828,18.072,14.292,13.608,15.336,18.072,10.224,12.672,8.82,13.572,11.556,12.924,13.356,10.08,6.516,6.336,4.824,3.276,7.776,11.412,8.64,6.228,7.884,3.204,3.348,3.996,5.94,9.144,10.8,6.912,6.228,8.964,15.768,10.476,6.12,7.272,18.432,7.128,4.356,7.272,12.168,7.128,5.94,5.4,11.124
"VISHAKAPATNAM","MAKAVARAPALEM",25.056,28.62,26.244,28.044,28.332,26.712,26.064,26.712,27.864,29.052,31.284,24.552,22.104,18.684,19.656,18.432,18.756,23.76,21.24,20.664,19.224,16.308,13.86,14.832,14.508,17.424,14.328,14.292,11.844,15.48,11.736,12.852,12.888,12.672,8.964,7.92,8.28,8.496,10.332,10.116,9.936,9.288,7.488,9.432,6.336,8.1,9.828,9.396,10.548,7.092,5.292,10.188,13.86,11.736,6.228,9.612,16.632,10.728,4.428,9.612,15.084,10.224,6.948,7.308,14.076
"VISHAKAPATNAM","MUNAGAPAKA",27.972,32.256,29.916,30.744,32.22,28.224,27.396,29.376,32.544,35.1,33.228,28.908,28.296,23.868,22.608,21.024,19.764,22.572,23.652,24.408,22.176,18.108,12.78,12.564,17.784,20.412,16.452,25.668,23.328,19.44,14.4,14.58,14.184,12.96,9.9,15.3,10.692,4.104,8.568,10.476,9.18,9.036,10.08,14.256,7.416,5.904,11.7,7.956,9.72,10.548,8.46,9.324,20.088,15.84,13.824,11.412,20.448,14.256,17.1,12.852,18.828,11.844,14.04,8.244,16.308
"VISHAKAPATNAM","MUNCHINGIPUTTU",28.44,24.3,24.336,32.58,31.572,28.98,31.968,30.06,28.044,30.276,29.808,29.34,22.608,21.312,21.456,21.492,21.384,25.344,21.492,19.044,15.192,18.792,17.352,15.012,15.66,20.592,16.056,15.804,15.336,13.32,10.044,13.248,13.356,18.54,16.308,16.02,14.616,10.548,8.208,8.676,9.468,18.18,15.444,14.364,8.568,4.608,7.524,9.324,10.728,15.912,11.376,10.368,9.432,17.028,11.376,5.976,10.8,12.492,11.916,6.408,8.28,13.248,6.624,6.084,6.048
"VISHAKAPATNAM","NAKKAPALLE",33.768,37.116,39.708,36.936,38.736,31.824,37.152,38.844,37.548,38.772,31.212,37.152,27.396,23.364,24.84,26.352,26.424,24.516,23.508,25.848,24.048,20.34,15.048,17.892,20.34,22.14,20.088,28.8,23.4,19.656,19.62,20.628,21.024,21.996,16.308,20.304,18.36,20.196,18.072,16.956,17.496,16.488,16.812,18.756,13.752,11.232,11.484,11.232,17.64,21.204,12.996,16.848,22.392,19.404,12.636,16.884,20.304,19.62,18.396,17.928,22.032,18.9,17.748,16.164,25.344
"VISHAKAPATNAM","NARSIPATNAM",23.04,26.64,24.948,25.848,27.36,20.808,23.508,23.976,22.464,25.128,27.936,24.372,19.692,14.868,16.668,14.796,15.84,20.808,19.98,18.54,14.472,11.628,9,10.692,12.276,15.84,13.788,15.048,12.456,11.916,9.612,11.196,11.268,13.068,9.18,6.984,6.948,7.992,7.38,7.056,6.948,8.316,7.632,10.188,6.012,6.516,4.32,7.164,7.632,6.912,6.192,7.668,9.972,12.528,5.544,6.48,11.412,10.368,3.312,7.2,11.772,8.172,3.996,5.328,10.8
"VISHAKAPATNAM","NATHAVARAM",24.012,26.64,26.856,28.296,27.756,21.96,25.596,26.496,22.5,25.704,27.936,24.372,19.692,15.912,15.912,15.048,16.38,20.88,19.98,18.54,14.472,11.988,9.864,11.268,12.816,15.84,14.4,15.768,15.048,11.916,10.44,11.844,13.464,15.516,13.5,11.664,8.82,9.684,8.028,10.188,9.648,10.728,9.684,10.188,6.012,8.208,5.04,8.136,8.676,11.34,6.66,8.748,11.268,13.392,6.3,8.028,11.412,12.168,9.288,8.748,11.808,11.232,5.616,7.956,12.456
"VISHAKAPATNAM","PADERU",32.4,31.284,37.008,40.464,37.8,33.768,35.532,35.1,33.3,29.628,30.096,25.128,20.412,21.168,21.204,21.744,23.004,27.792,22.464,17.316,14.076,17.316,18.828,20.844,24.444,25.812,17.604,16.38,13.284,17.64,18.504,21.024,23.04,24.948,18.108,15.696,15.012,14.544,15.876,18.756,22.536,26.28,17.784,14.004,12.708,9.684,12.672,16.452,19.944,21.528,11.268,12.528,17.892,17.784,12.708,8.604,12.816,13.788,9.792,11.628,15.408,14.652,7.2,8.496,12.276
